title,heading,content,tokens,summary
Create Your First Integration,Create Your First Integration,"An integration component integrates APIs, microservices, applications, and data in different languages and formats. Consider a scenario where a developer has created an integration in WSO2 Integration Studio(https://wso2.com/integration/integration-studio/) and wants to use it for API-led integration by exposing it in Choreo. In this tutorial, you will learn how to do the following actions to address this requirement:
- Expose an integration created in WSO2 Integration Studio(https://wso2.com/integration/integration-studio/) as an API in Choreo by connecting the GitHub repository in which it resides to Choreo.
- Deploy the Integration component to the development environment.
- Test the Integration component.
- Observe statistics for the Integration component.
- Publish the Integration component and try it out in the production environment.
For this tutorial, let's use a basic sample application to expose a proxy service developed in the WSO2 Integration Studio(https://wso2.com/integration/integration-studio/).
!!! tip ""Before you begin!""
    To try this tutorial, you can use a sample integration designed via WSO2 Integration Studio(https://wso2.com/integration/integration-studio/).To do this, fork the choreo-examples GitHub repository (https://github.com/wso2/choreo-examples/tree/main/ipaas/wso2-synapse/simple-proxy).",328,"Title: Create Your First Integration
Heading: Create Your First Integration
Keywords: integration component, APIs, microservices, applications, languages, formats, WSO2 Integration Studio, API-led integration, Choreo, GitHub repository, proxy service, sample integration, choreo-examples repository.

This tutorial explains how to use WSO2 Integration Studio to create an integration component that integrates APIs, microservices, applications and data in different languages and formats, and then expose it as an API in Choreo by connecting the GitHub repository in which it resides. The tutorial also covers deployment, testing, observing statistics and publishing the integration component in the production environment. A sample application and the choreo-examples GitHub repository can be used to expose a proxy service developed in WSO2 Integration Studio."
Create Your First Integration,Create,"Let's add the integration by following the steps given below:
1. Sign in to the Choreo Console at https://console.choreo.dev/.
2. On the **Home** page, click on the project in which you want to create the integration. Alternatively, you can click **+ Create Project** and add a new project.
3. If your project has one or more components, click **+ Create**. If not, proceed to the next step.
4. On the **Integration as an API** card, click **Create** to start creating a micro integrator REST API.
5. Enter a name and a description for the micro integrator REST API. For example, you can enter `MI Hello World` as the name and `MI Hello World REST API` as the description.
6. To the micro integrator REST API as a publicly accessible API, leave the selection in the **Access Mode** list unchanged.
7. Click **Next**.
8. Authorize Choreo to connect to your GitHub account by clicking **Authorize with GitHub**.
9. If you have not already authorized Choreo applications, click **Authorize Choreo Apps** when prompted.
10. Enter information related to the GitHub repository you want to connect as follows:
**GitHub Account**    | Select your GitHub account.
**GitHub Repository** | Select your fork of the choreo-examples GitHub repository (https://github.com/wso2/choreo-examples).
*Branch**            | `main`
11. Under **Build Preset**, click **Micro Integrator**.
     !!! info
         The build preset specifies the type of build that Choreo needs to run for the component (for example, Choreo needs to run a micro integrator build for components developed via the WSO2 Integration Studio https://wso2.com/integration/integration-studio/).
12. Enter information related to the `MI Hello World` project as follows:
**Path**              | `ipaas/wso2-synapse/simple-proxy`
**OpenAPI File Path** | `ipaas/wso2-synapse/simple-proxy/openapi.yaml`
13. Click **Create**.
The micro integrator REST API opens on a separate page.",545,"Title: Create Your First Integration
Heading: Create
Keywords: Choreo Console, Home page, Integration as an API, Create, Micro Integrator REST API, GitHub account, GitHub Repository, Branch, Build Preset, Path, OpenAPI File Path.

Summary: This text provides steps on how to add an integration by following the steps given. It starts by signing into the Choreo Console, then creating a project or selecting an existing project. The integration is then created by selecting the 'Integration as an API' card. After authorizing Choreo to connect to the GitHub account, information related to the GitHub repository and the build preset is entered. Finally, the micro integrator REST API is created by entering the path and OpenAPI file path."
Create Your First Integration,Deploy,"Let's deploy the micro integrator REST API you created to the developer environment by following the steps given below:
1. In the left navigation menu, click **Deploy**.
2. Click **Deploy Manually**.
    !!! info
        Automatic deployment is enabled for the component by default. You are required to carry out only the first deployment manually.
Once Choreo has deployed the micro integrator REST API, you can proceed to the next step to test it.",108,"Title: Create Your First Integration
Heading: Deploy
Keywords: Deploy, Micro Integrator REST API, Developer Environment, Deploy Manually, Automatic Deployment, Test.

Summary: The text provides instructions on how to deploy the micro integrator REST API created to the developer environment. The first deployment must be done manually, but subsequent deployments can be done automatically. Once the API is deployed, it can be tested."
Create Your First Integration,Test,"Once you have deployed the Integration REST API you can test it via the OpenAPI Console, or a cURL command.
In this tutorial, let's test via the OpenAPI Console:
1. To open the test view, click **Test** in the **Development** card. Alternatively, you can click the **Test** icon in the left panel.
2. Click **OpenAPI Console**.
3. Select **/HelloWorld** resource and click **Try it out**.
4. Click **Execute**. Choreo displays the following response in **Response body**.
    `{""Hello"":""Integration""}`
The above response indicates that your micro integrator REST API is working as expected.",152,"Title: Create Your First Integration
Heading: Test
Keywords: Deploy, Integration REST API, OpenAPI Console, Test, Development, /HelloWorld, Execute, Response Body, Working. 
Summarize: This tutorial explains how to test an Integration REST API by using the OpenAPI Console. The steps involve clicking Test in the Development card, selecting the /HelloWorld resource, and then clicking Execute. The expected response is {""Hello"":""Integration""} which indicates the micro integrator REST API is working."
Create Your First Integration,Observe,"To observe statistics for your micro integrator REST API, click **Observe** in the left navigation menu. The graphs for throughput and latency will display the request you sent.",35,"Title: Create Your First Integration
Heading: Observe
Keywords: observe, micro integrator, REST API, throughput, latency

This text describes how to observe statistics for a micro integrator REST API. By clicking ""Observe"" on the left navigation menu, the user can view graphs for throughput and latency for the requests sent."
Create Your First Integration,Publish,"Let's publish the micro integrator REST API to make it available for subscriptions in the Developer Portal.
1. In the left navigation menu, click **Manage**, and then click **Lifecycle**.
2. Click **Publish**. The lifecycle status of the API will change to **Published**.
3. To view the API in the Developer Portal, click **Go to Devportal**. The API opens on a separate page in the Developer Portal.
Congratulations! You have successfully exposed an integration designed in the WSO2 Integration Studio (https://wso2.com/integration/integration-studio/) as a REST API in Choreo and published it!
!!! info ""What's next""
    For a micro integrator REST API, you can also perform API management actions.",175,"Title: Create Your First Integration
Heading: Publish
Keywords: Publish, Micro Integrator, REST API, Developer Portal, WSO2 Integration Studio, Choreo, API Management.

This text describes the process of publishing a micro integrator REST API to the Developer Portal. It explains that the first step is to click Manage and then Lifecycle in the left navigation menu. The second step is to click Publish, which will change the lifecycle status to Published. The third step is to click Go to Devportal, which will open the API on a separate page in the Developer Portal. Finally, the text congratulates the user for successfully exposing an integration designed in the WSO2 Integration Studio as a REST API in Choreo and publishing it. It also mentions that the API can then be managed."
REST APIs,REST APIs,"Explore how you can easily design, develop, and manage REST APIs in Choreo to implement your business API strategy.",24,"Title: REST APIs
Heading: REST APIs
Keywords: Design, Develop, Manage, REST APIs, Choreo, Business API Strategy 

Summary: This text provides information on how to use Choreo to design, develop, and manage REST APIs in order to create a business API strategy."
REST APIs,What is a REST API?,"A Representational State Transfer(REST) API is an Application Programming Interface(API) that complies with the constraints of REST architectural styles and principles. REST is an architectural style (https://www.ics.uci.edu/~fielding/pubs/dissertation/rest_arch_style.htm) introduced by Dr. Roy Fielding in his doctoral dissertation in the year 2000. Dr.Roy initially designed it as a guide for the development of modern web architecture. Today, REST is widely adopted to create high-performance, stateless, and reliable APIs that various applications use.",122,"Title: REST APIs
Heading: What is a REST API?
Keywords: Representational State Transfer (REST), Application Programming Interface (API), architectural style, Dr. Roy Fielding, doctoral dissertation, 2000, modern web architecture, stateless, reliable APIs.

Summary: Representational State Transfer (REST) API is an Application Programming Interface (API) that follows the constraints of the REST architecture style and principles. This architectural style was introduced by Dr. Roy Fielding in 2000 in his doctoral dissertation. REST is now widely used to create high-performance, stateless, and reliable APIs that are used by different applications."
REST APIs,Designing a REST API,"Designing a REST API is the process of declaring the resources, the appropriate HTTP verbs, paths, and input (request) and output (response) data formats to showcase the capabilities of the API. Designing an API based on a standard helps to do the design well and provide a consistent experience to the users of your API. The OpenAPI Specification (https://github.com/OAI/OpenAPI-Specification) is the most widely used standard for declaring HTTP/REST APIs. The design of an API is a crucial factor that determines the usability and the value of the API. A well-designed API is profitable due to the ease of adoption. Choreo’s low-code editor allows developers to design (and develop) high-quality REST APIs with ease. To design a REST API in Choreo, you must create a REST API component. You can design a REST API from scratch by manually specifying the resources, the HTTP verbs, paths, and other required elements. The Choreo roadmap also includes the capability to design a REST API by importing an OpenAPI document, which will be available soon.
Choreo allows you to design your REST API in three possible ways
- **Start from scratch**
    You can design a REST API via Choreo’s low-code editor that allows developers to design (and develop) high-quality REST APIs with ease. This method involves designing the REST API from scratch by manually specifying the resources, the HTTP verbs, paths, and other required elements.
    Choreo allows developers to easily specify input and output data formats for each API resource:
- **Connect existing Ballerina repository**
    If you have a REST API written in the Ballerina Programming Language (https://ballerina.io), you can deploy it in Choreo. To do this, you must save it in a private GitHub repository and connect that repository to Choreo.
- **Bring your Dockerfile**
  If you have an existing REST API written in any programming language, you can deploy it in Choreo. To do this, you must generate a Docker image for the REST API and save the Dockerfile in a private GitHub repository. When you connect this GitHub repository to Choreo, you can build the Dockerfile to pull the REST API implementation from the Docker image.",492,"Title: REST APIs
Heading: Designing a REST API
Choreo is a low-code editor which allows developers to design and develop high-quality REST APIs with ease. It provides three methods to design REST APIs: starting from scratch, connecting an existing Ballerina repository, and bringing a Dockerfile. The OpenAPI Specification is the most widely used standard for declaring HTTP/REST APIs and Choreo will soon include the capability to design a REST API by importing an OpenAPI document. Designing a well-structured API is essential for its usability and value and Choreo's low-code editor enables developers to do so with ease."
REST APIs,Developing a REST API,"Choreo supports spec-driven API development. Once you have carefully designed and defined your API, you can start implementing the functionality of your API. Choreo comes with an online IDE based on Visual Studio Code for developers to implement API functionality. With its support for both low-code and pro-code modes to implement APIs and the flexibility to alternate between the modes during development, Choreo makes API development easy, smooth, and developer-friendly.

### Low-code mode
The low-code programming model allows developers to use general programming constructs such as loops, conditional statements, variable declarations and assignments, logs, data transformations(visual data mapping), and more in a graphical editor. It also allows developers to connect to built-in or custom-developed connectors.
The main advantage of the low-code programming mode is that it can increase developer productivity multiple folds by eliminating the need to write complex code. As developers use constructs on the low-code editor to implement the API, the IDE automatically writes the corresponding Ballerina (https://ballerina.io/) source code for the API, which significantly speeds up the developer learning process and boosts overall productivity.

### Pro-code mode
The pro-code mode of Choreo allows developers to directly edit code in a manner where the graphical representation in the low-code editor gets updated accordingly. Choreo also allows viewing the low-code and pro-code editors side-by-side.
Choreo gives developers the flexibility to use the pro-code mode only or to use it for implementing specific parts of the API while using the low-code mode for the rest, based on their preference. Choreo treats the source code (generated and handwritten) as the single source of truth and has no limitations or restrictions on the mode you can choose to implement API functionality.",377,"Title: REST APIs
Heading: Developing a REST API
Keywords: Choreo, low-code, pro-code, API, Visual Studio Code, Ballerina, graphical editor, code, source code

Choreo is a tool that helps developers build APIs quickly and efficiently with support for both low-code and pro-code modes. The low-code mode allows developers to use general programming constructs such as loops, conditional statements, and variable declarations in a graphical editor, while the pro-code mode allows developers to edit source code directly with the graphical representation being updated accordingly. Choreo also supports built-in and custom-developed connectors and treats source code as the single source of truth, giving developers the flexibility to choose the development mode that best fits their needs."
REST APIs,Lifecycle of a REST API,"Once you implement a REST API, it needs to be built, tested, and eventually put into production. Choreo executes a CI/CD pipeline to manage the API lifecycle. Choreo stores the source code of APIs in a private GitHub repository for the user account. It also provides the capability for developers to connect their own GitHub repositories containing the source code of their APIs. The CI/CD pipeline in Choreo takes an API through the complete process, starting from code checkout to compile, build, test, and finally deploy.",109,"Title: REST APIs
Heading: Lifecycle of a REST API
Keywords: REST API, CI/CD pipeline, GitHub repository, source code, compile, build, test, deploy.
Summary: Choreo provides a CI/CD pipeline to manage the API lifecycle, which starts with code checkout from a private GitHub repository and ends with deployment. It also allows developers to connect their own GitHub repositories containing the source code of their APIs. The pipeline takes the API through the complete process, including compile, build, test and deploy."
REST APIs,Deploying a REST API,"Choreo runs a professional, enterprise-grade CI/CD process to deploy APIs to their runtime(data plane) clusters. The data plane of Choreo runs on a Kubernetes stack under the hood. Therefore, you can benefit from its features such as auto-scaling, auto-healing, secret-management, liveness and readiness checks, etc.
Once you deploy a REST API to the development environment, it gets exposed through an API Gateway with API security enabled. At this time, Choreo provides a test URL for the API, which you can use to verify the functionality of the API.",128,"Title: REST APIs
Heading: Deploying a REST API
Keywords: CI/CD, Kubernetes, auto-scaling, auto-healing, secret-management, liveness, readiness checks, API Gateway, API security.

Summary: Choreo offers an enterprise-grade CI/CD process to deploy APIs to their runtime data plane clusters, which run on a Kubernetes stack. This provides users with features such as auto-scaling, auto-healing, secret-management, liveness and readiness checks. Once an API is deployed to the development environment, it is exposed through an API Gateway with API security enabled, and a test URL is provided to verify the functionality of the API."
REST APIs,Choreo environments,"Choreo provides a development environment by default and a production environment in two separate Kubernetes clusters. Once you deploy an API to the development environment and verify its functionality, you can promote the API to the production environment.
Once you promote an API to production, Choreo provides a second URL that you can use in a production application to invoke the API.",75,"Title: REST APIs
Heading: Choreo environments
Keywords: Choreo, development environment, production environment, Kubernetes clusters, API, production application.

Choreo provides a development environment and a production environment in separate Kubernetes clusters. Developers can deploy an API to the development environment, verify its functionality, and then promote the API to the production environment. After promotion, Choreo provides a second URL that can be used to invoke the API in a production application."
REST APIs,API management,"Choreo provides API management capabilities by default for REST APIs (and other APIs) so that you can manage the exposure of APIs to consumers. Choreo API management capabilities also allow you to configure API security settings, set rate limits, associate usage plans, provide other documentation, and perform other related functions to govern the API.
The inbuilt Choreo Developer Portal makes it easy for consumers to consume published APIs. Application developers can discover and invoke published APIs via the Choreo Developer Portal. To learn more about the Choreo Developer portal, see Developer Portal",115,"Title: REST APIs
Heading: API management
.

Keywords: Choreo, API management, REST APIs, security settings, rate limits, usage plans, documentation, governance, Developer Portal.

Choreo provides API management capabilities to govern the exposure of APIs to consumers. This includes configuring API security settings, setting rate limits, providing documentation, and associating usage plans. The Choreo Developer Portal makes it easy for application developers to discover and invoke published APIs."
REST APIs,Observability,"Choreo allows you to visualize and monitor the performance of REST APIs deployed on Choreo. Choreo has in-built support for viewing the overall status, latencies, throughput data, diagnostic data, and logs. Developers can efficiently detect and troubleshoot anomalies in REST APIs using  Choreo Observability.",66,"Title: REST APIs
Heading: Observability
Keywords: Choreo, REST APIs, Visualize, Monitor, Performance, Status, Latencies, Throughput Data, Diagnostic Data, Logs, Detect, Troubleshoot, Anomalies, Observability.

Choreo is a tool that enables developers to visualize and monitor the performance of their REST APIs. It provides in-built support for viewing the overall status, latencies, throughput data, diagnostic data, and logs. Developers can use Choreo Observability to efficiently detect and troubleshoot anomalies with their APIs."
REST APIs,Business insights,"Once you take your APIs to production, you need to constantly analyze the APIs to get a good understanding of their usage.",24,"Title: REST APIs
Heading: Business insights
Keywords: APIs, production, analyze, usage.

Summary: After launching APIs into production, it is important to monitor their usage by analyzing them regularly."
REST API Proxy,REST API Proxy,Learn how you can expose an existing API through a REST API Proxy in Choreo and go on to manage it leveraging the full API Management capabilities of Choreo.,34,"Title: REST API Proxy
Heading: REST API Proxy
Keywords: API, REST API Proxy, Choreo, API Management

This text provides instructions on how to expose an existing API through a REST API Proxy in Choreo, as well as how to manage it using the API Management capabilities of Choreo."
REST API Proxy,What is a REST API Proxy?,"A REST API Proxy is an API proxy that complies with the Representational State Transfer(REST) standards. The REST API proxy fronts the API and is the contact point for applications that want to consume the API. Although APIs decouples the backend and the application, an API alone cannot ensure security for the backend and the application by applying policies such as security, rate-limiting, etc. This is where a REST API Proxy comes into play. A REST API Proxy helps you manage the API by applying necessary security policies, access-control policies, and even collecting analytics. Fronting your unmanaged API by a REST API proxy gives your application the flexibility to make changes to the backend API without affecting the applications that consume them. 
A REST API Proxy exposes an endpoint that applications use to consume the API.",165,"Title: REST API Proxy
Heading: What is a REST API Proxy?
It is a layer between the application and the API that adds security, rate-limiting, access-control, and analytics to the API. Keywords: REST API Proxy, Representational State Transfer (REST), security policies, access-control policies, analytics, endpoint, layer, application, API.

The text discusses the use of a REST API Proxy to manage an API by applying security policies, access-control policies, and collecting analytics. A REST API Proxy provides a layer between the application and the API and exposes an endpoint that applications use to consume the API. This allows applications to make changes to the backend API without affecting any other applications that consume it."
REST API Proxy,Develop a REST API Proxy,"Designing your REST API proxy from scratch involves declaring the resources and the methods the end-user applications will use to access the API. Choreo supports spec-driven API Proxy development. Therefore, it guides you visually via a Swagger editor to create REST API Proxies that comply with The Open API Specification (https://github.com/OAI/OpenAPI-Specification). It is the most widely used standard for declaring HTTP/REST APIs. Choreo also allows you to generate your OpenAPI specification through this editor.
Choreo allows you to easily expose your existing APIs via a REST API proxy and convert it to a managed API. You can create a REST API Proxy in Choreo in two ways:
- From scratch by using an existing endpoint 
- By importing an OpenAPI specification

### Designing a new REST API Proxy using an existing endpoint 
You can front your existing API with a REST API Proxy easily using Choreo. To design a new REST API Proxy, you need to create a REST API Proxy component and specify the API name, the base path, and the endpoint to create the basic API definition. Once Choreo creates the API definition, you can then define the resources by specifying the URI pattern, the HTTP methods, and optionally, any parameters:

### Designing a new REST API Proxy by importing an OpenAPI specification
Choreo allows you to create a REST API Proxy by importing an Open API Specification or providing an URL to the Open API specification. Choreo will then extract the API name, base path, and endpoint. Choreo gives you the flexibility to change this information as required. Once you create the API Proxy, you can modify it by defining the resources, URI pattern, HTTP methods, and any parameters (optional).
Once you create an API proxy in Choreo, you can access the API definition of that API. Choreo also exposes the endpoints for the API where it maintains two gateway environments, production, and sandbox.",418,"Title: REST API Proxy
Heading: Develop a REST API Proxy
Keywords: REST API Proxy, OpenAPI Specification, Choreo, existing endpoint, resources, HTTP methods, parameters, API definition, gateway environments.

Choreo is a platform that supports the development of REST API Proxies by guiding users through a Swagger editor to create APIs that comply with the OpenAPI Specification. It allows users to create an API Proxy from scratch with an existing endpoint or by importing an OpenAPI specification. Choreo also provides an API definition and gateway environments (production and sandbox) once an API Proxy has been created."
REST API Proxy,Deploying a REST API Proxy,"Choreo runs a professional, enterprise-grade CI/CD process to deploy APIs to its runtime(data plane) clusters. Under the hood, Choreo's data plane runs on a Kubernetes stack, hence benefits from all its features such as auto-scaling, auto-healing, secret management, liveness, readiness checks, and so on.
Once you deploy the REST API to the development environment, it is then exposed by an API Gateway with API security turned on. Developers get a testable URL for their API which they can use to verify the functionality of the API they implemented.
You may set up a separate sandbox environment to test the API proxy before pushing it to production. To deploy the API proxy to both the sandbox environment and the development environment, enter the test environment URL as the sandbox endpoint and the API backend URL as the endpoint.",178,"Title: REST API Proxy
Heading: Deploying a REST API Proxy
Keywords: Choreo, CI/CD, Kubernetes, auto-scaling, auto-healing, secret management, liveness, readiness checks, REST API, API Gateway, API security, sandbox environment, development environment. 

Summary: Choreo runs a professional, enterprise-grade CI/CD process to deploy APIs to its runtime clusters. The data plane runs on a Kubernetes stack, allowing for features such as auto-scaling, auto-healing, secret management, liveness, readiness checks, and more. Once deployed to the development environment, the REST API is exposed by the API Gateway with API security enabled. Developers can use the testable URL to verify the functionality of their API. A sandbox environment can be set up to test the API proxy before pushing it to production. The test environment URL will be used as the sandbox endpoint and the API backend URL will be used as the endpoint."
REST API Proxy,Choreo environments,"Choreo by default provides a development environment and a production environment in two separate Kubernetes clusters. Once you have deployed the API to the development environment and its functionality has been verified, developers can then promote their APIs to the production environment:
Once you have promoted the API to production, Choreo then shows a second URL that developers can use in production applications to invoke the API.",80,"Title: REST API Proxy
Heading: Choreo environments
Keywords: Choreo, Kubernetes clusters, development environment, production environment, deploy, API, promote, production, URL, invoke.

Choreo is a platform that provides two separate Kubernetes clusters, one for development and one for production. Developers can deploy their API to the development environment, verify functionality, and then promote the API to the production environment. Once promoted, Choreo provides a URL that can be used in production applications to invoke the API."
REST API Proxy,Test the REST API Proxy,"Once you deploy your API, it is ready to be tested. Testing your REST API Proxy is an integral part of the spec-driven API development approach. Testing your API Proxy in Choreo can be done in 3 ways:
- Via the inbuilt OpenAPI Console
- Via cURL
- With a Postman integration

### In-built OpenAPI console
The in-built OpenAPI console is an interactive UI where you can test your API Proxy easily. You can test your APIs in the environments you deploy them in by selecting the environment. Choreo by default uses OAuth2.0 authentication. Therefore the OpenAPI console provides you the option to generate your test keys to test the APIs. Once you meet the pre-requisites, you can test the different resources you defined by specifying any parameters if needed. 

### cURL
Choreo provides you with a cURL command based on the resource, method, and environment you want to test your REST API Proxy. You need to select the environment, the methods, specify the base path of the resource, and any parameters. Once you provide the information to Choreo, it will generate a cURL command with an API key in place for you to test. 

### Postman
Choreo also allows you to integrate Postman. To integrate Postman, you need to create a postman account, generate an API Key from Postman, and include them in the Choreo UI. Once you integrate Postman successfully, you can import Postman workspaces, or create new workspaces and continue to test it on Choreo.
",335,"Title: REST API Proxy
Heading: Test the REST API Proxy
Keywords: API Proxy, OpenAPI console, cURL, Postman, authentication, OAuth2.0, pre-requisites, parameters, API key

Summary: Testing a REST API Proxy in Choreo can be done in three ways: using an in-built OpenAPI console, cURL commands, and Postman integration. The OpenAPI console is an interactive UI with the option to generate authentication keys. The cURL commands are generated based on the environment, method, and resource specified. Postman integration requires an API Key to be set up and workspaces to be imported or created. Pre-requisites and parameters may need to be specified."
REST API Proxy,Manage the REST API Proxy,"API Management is automatically turned on in REST API Proxies (and other APIs) on Choreo. Converting an unmanaged API to a managed API is a key advantage of exposing REST API Proxies. Developers can use its capabilities to manage the exposure of APIs to their consumers. Developers can configure the API’s security settings, set rate limits, associate usage plans, provide other documentation, and perform other related functions to govern the API. 

### Lifecycle of a REST API Proxy
Once you implement a REST API Proxy, it needs to be built, tested, and eventually put into production. Choreo executes a CI/CD pipeline that manages the API’s Lifecycle. Choreo stores the source code of APIs in a private Github repository for the user account. It also provides the capability for developers to hook in their own Github repositories containing the source code of their APIs(coming soon). The CI/CD pipeline in Choreo takes an API through the whole process, starting with code checkout, to compile, build, test, and finally to deployment.

### Add documentation to the REST API Proxy
A well-designed API or API Proxy needs to be well-documented as well. The usability of the API/API Proxy is a deciding factor of its value. Many API developers find documenting an API a tedious task. Choreo makes documentation an easy task for developers by allowing different sources of documentation. Choreo allows you to add documentation to the REST API by specifying a URL, in Markdown format, importing a file, or by simply including inline documentation. 

### Usage Plans
The usage plan determines the number of requests allowed for the API per minute. Therefore, this is also the rate limit that applies to an API.

### Settings
A well-managed API needs to have security policies and access-control policies in place. Setting rate-limiting policies will ensure:
- Your API is protected from common types of security attacks such as certain types of Denial Of Service (DOS) attacks
- Traffic is regulated and the resources are not exhausted
In addition to providing different usage plans, Choreo also allows you to set different rate-limiting policies against the API or each resource. While the API level rate-limiting will impact the whole API, resource-level rate-limiting gives you the flexibility to change the rate-limiting policy per operation based on the anticipated or analyzed usage.
Choreo uses OAuth2.0 authentication.

### Consumers
Consuming the published APIs is made easy with the inbuilt Choreo Developer Portal. Application developers can discover and invoke published APIs using the Choreo Developer Portal.",556,"Title: REST API Proxy
Heading: Manage the REST API Proxy
Keywords: API Management, REST API Proxies, Managed API, Security Settings, Rate Limits, Usage Plans, Documentation, CI/CD Pipeline, OAuth2.0 Authentication, Developer Portal

Summary: API Management is automatically enabled for REST API Proxies and other APIs on Choreo. Converting an unmanaged API to a managed API is a key advantage of using REST API Proxies, and developers can configure the API’s security settings, set rate limits, associate usage plans, and provide documentation. The API’s lifecycle is managed by a CI/CD pipeline, and developers can add documentation to the API by specifying a URL, importing a file, or providing inline documentation. Usage plans determine the rate limit of the API, and Choreo uses OAuth2.0 authentication. Finally, the Choreo Developer Portal allows application developers to discover and invoke published APIs."
Webhook,Webhook,Explore how you can create event-driven integrations with Choreo Webhooks.,18,"Title: Webhook
Heading: Webhook
Keywords: Event-driven, Integrations, Choreo Webhooks.

Summary: This text discusses the use of Choreo Webhooks to create event-driven integrations."
Webhook,What is a webhook?,"A webhook is a cause that activates an action. Webhooks in Choreo are no different and are user-defined callbacks. 
Webhooks are used by developers to implement event-driven integrations. Before event-driven solutions,  to identify an event occurrence, systems had to keep polling other systems periodically.  With event-driven solutions, systems can focus on the main business-flow, and proactively be notified when an event of interest occurs in real-time. The following are some examples of scenarios where you can create webhooks for the mentioned platforms:
- Sending a chat message in a group chat when an event gets added in a slack channel.
- Generating an alert when a new issue gets created in a specific Git repository.
- Sending a notification when an event gets scheduled in a google calendar.
Webhooks are a widely used programming element to create event-driven API architectures for real-time solutions.",196,"Title: Webhook
Heading: What is a webhook?
Keywords: webhooks, Choreo, event-driven, Slack, Git, Google Calendar

Summary: Webhooks in Choreo are user-defined callbacks that are used by developers to create event-driven integrations. Instead of periodically polling other systems, webhooks allow systems to be notified of events of interest in real-time. Examples of using webhooks include sending chat messages in a group chat, generating alerts in a Git repository, and sending notifications when an event is scheduled in a Google Calendar. Webhooks are a popular way to create event-driven API architectures for real-time solutions."
Webhook,Develop a webhook,"Developing a webhook is the process of creating the webhook by identifying the trigger event and implementing the logic to execute the event. You can create and design an event-driven integration using webhooks in Choreo easily. 
Choreo’s low-code editor allows developers to easily design and develop webhooks for platforms such as GitHub, Slack, and Google Calendar, etc. using the integrated pro-code or low-code editor. Creating a webhook in Choreo starts by either creating the Webhook component from scratch or by connecting an existing Ballerina repository. To create a webhook from scratch, you can start by creating a Webhook component and selecting the trigger type(e.g. GitHub).
Next, you can give the webhook a name, select the trigger channel, and select whether to manage the webhook code in a choreo-managed repository or in your own repository. Once you have created your webhook, you can start developing the logic for the specific event(E.g. onOpened). Choreo will execute this logic when the webhook is activated. E.g. send an email when an issue gets created in GitHub. Additionally, you can define any configurations needed to run the webhook.

### Low code mode
The low-code programming model allows developers to use common programming constructs such as loops, conditions(if/else, variable declarations and assignments, logs, data transformations(visual data mapping), and much more in a graphical editor. It also allows developers to connect to any built-in or custom-developed connectors (https://central.ballerina.io).
Choreo allows you to add multiple triggers and channels to your webhook implementation via the low-code editor. It also shows the configurations needed to deploy the Webhook component. 
The main advantage of the low-code programming mode is that it increases the developer productivity by multiple folds by eliminating the need to write complex code. As developers use constructs on the low-code editor to implement the integration logic for the webhook, the IDE automatically writes the corresponding Ballerina (https://ballerina.io) source code of the webhook. This speeds up the developer's learning process significantly and thereby boosts overall productivity.

### Pro code mode
In addition to the low-code mode, Choreo provides a pro code mode of implementing the webhook's functionality with the ability to alternate between low-code and pro-code at any time. Choreo's online IDE allows viewing the low-code and pro-code editors side by side.
Choreo gives the developers the flexibility to use the pro-code mode only or use it for implementing certain parts of the API and use the low-code mode for the rest (based on their preference). Choreo treats the source code (generated and handwritten) of the API as the single source of truth and therefore has no limitations or restrictions on which mode developers may choose to implement their webhook's functionality.",622,"Title: Webhook
Heading: Develop a webhook
### Keywords: 
Webhook, Choreo, Low-code Editor, GitHub, Slack, Google Calendar, Ballerina Repository, Triggers, Channels, Configurations, Logic, Pro-Code Mode.

### Summary:
Developing a webhook in Choreo is easy and efficient. The low-code editor allows developers to quickly design and develop webhooks for platforms like GitHub, Slack, and Google Calendar. The pro-code mode gives developers the flexibility to use either mode for implementing the webhook's functionality. Choreo automatically writes the corresponding Ballerina source code of the webhook, which speeds up the development process."
