title,heading,content,source,tokens,id
Create Your First REST API Proxy,Create Your First REST API Proxy,"This tutorial introduces REST API proxies.An API Proxy exposes an existing API on Choreo and intercepts the requests to the REST API. It API Proxy acts as a managed API to which you can apply security, rate-limiting, etc.In this tutorial, you will learn how to do the following:Expose an existing API by creating a REST API proxy
Deploy the REST API proxy
Test the REST API proxy to verify its functionality
Manage your REST API proxy by adding rate limiting and security policies, thereby leveraging the platform's API management capabilities.!!!tip ""Before you begin...""
Familiarize yourself with REST API Proxies in Choreo. REST API ProxiesLet's begin!",https://wso2.com/choreo/docs/get-started/tutorials/create-your-first-rest-api-proxy/,146,D32
Map Data,Map Data - Map Data,"The data mapping feature of Choreo allows you to convert and transform one data format to another, change the structure of the data, or perform both.
You can configure a data mapping for a component when you develop it in the Web Editor.This guide walks you through a simple use case where you will input student data in a specific structure and convert and transform the student data to a different format.Let's Start!",https://wso2.com/choreo/docs/develop/explore-code-editor/map-data/,85,D33
Lifecycle,Lifecycle,"
Managing the API lifecycle is one of the main factors in API management. An API lifecycle has predefined states. These states represent the different stages the API transitions from creation to retirement. Choreo has six lifecycle states: created, pre-released, published, blocked, deprecated, and retired.
h2 -> API lifecycle states
The following lifecycle states are available in the default API lifecycle and applicable for APIs.
h2 -> Manage API lifecycle
The lifecycle of an API can be managed by the users with publishing privileges, using the Choreo Console.Follow the instructions below to manage the API lifecycle appropriately:Sign in to the Choreo Console at https://console.choreo.dev/.
Select and click on the API component you want to test from the components list.
in the left panel, click the Manage icon to open the test view.
In the left pane, click Lifecycle.
Click on the lifecycle state change buttons to change the lifecycle state.",https://wso2.com/choreo/docs/manage/lifecycle/,215,D34
Performance Analysis,Performance Analysis,"The Performance Analyzer tool is an AI-based tool that generates intelligent estimations of the performance of integration-based services and APIs based on historical data. The Performance Analyzer tool allows developers to obtain forecasts at development time using advanced machine learning techniques and mathematical performance models.Traditionally, performance analysis includes performance debugging which involves measuring the performance of services by load testing them. The Performance Analyzer allows you to measure performance at the application development stage, significantly reducing the time and cost spent on performance debugging.A component may have more than one execution path serving requests. The Performance Analyzer tool can analyze all the execution paths and determine the performance-critical path: the path that is estimated to take the longest time to process a single request.",https://wso2.com/choreo/docs/observe-and-analyze/performance-analysis/,148,D35
View API Insights,View API Insights,This section explains how you can view insights about the APIs deployed in your organization.,https://wso2.com/choreo/docs/observe-and-analyze/analyze/view-api-insights/,16,D36
Observability Overview,Observability Overview,"Observability in Choreo provides the capability to visualize and monitor the performance of services deployed on Choreo. Choreo has in-built support for viewing the overall status, latencies, throughput data,  diagnostic data, and logs. Hence, you can use Choreo Observability to detect and troubleshoot anomalies in your services efficiently.",https://wso2.com/choreo/docs/observe-and-analyze/observe/observability-overview/,73,D37
Configure a Custom Domain for APIs,Configure a Custom Domain for APIs,"
A custom domain for your site is essential for effective branding, discoverability, and credibility. Choreo allows you to configure a custom domain for the APIs you deploy in it.To understand how to configure a custom domain for your APIs, see the following sections:
h2 -> Prerequisite
To configure a custom domain for your APIs, you must first register a custom domain with a domain registrar service as follows:Sign in to the Choreo Console at https://console.choreo.dev/ using a Google, GitHub, or Microsoft account.
If you are a new user, create an organization. Enter a unique organization name. For example, Stark Industries Ltd.
{.cInlineImage-small}
To expose the custom domain to which your APIs need to be exposed, register it with a domain registrar service (for example, ClouDNS).
To register the custom domain, you need to create a DNS record of the CNAME type via the domain registrar service, associating it with the Choreo gateway access domain (i.e., customdns.e1-us-east-azure.choreoapis.dev).
Optionally, create TLS certificates and keys to enable TLS for the custom domain. You can also use the let's encrypt option. This option allows Choreo to create and manage the certificates on your behalf.
h2 -> Configure a custom domain for your APIs
To configure a custom domain for your APIs, follow the steps given below:In the left navigation menu, click Settings.
Click the Domains tab and in the Gateway sub-tab, click + Add Custom Domain.
Enter your domain name and click Verify.
{.cInlineImage-half}
Once Choreo verifies the custom domain successfully, click Next.
You can add the TLS certificates you created for the custom domain. Alternatively, you can click the Let's Encrypt option to let Choreo generate and manage the certificates for you. For this scenario, let's click the Let's Encrypt option.
Click Add to save the custom domain.
The Settings page displays the custom domain in the Domains/Gateway sub-tab.
{.cInlineImage-threeQuarters}That's it! You have successfully configured a custom domain for your API Gateway. The API endpoint of the APIs you create will now include the custom domain as shown in the image below:{.cInlineImage-threeQuarters}",https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-apis/,519,D38
Choreo Insights API,Choreo Insights API,"Choreo Insights API is a GraphQL API that allows you to fetch data in a flexibly by defining the criteria with precision. This guide explains the different ways in which you can fetch data via this API.Allowed operations: Queries
Schema-defined types: Objects, Inputs, Enums, and Scalars##Try outYou can try out the Choreo Insights API with your data via GraphQL Explorer.!!! warning
You cannot work with the GraphQL Explorer with the Safari web browser at present due to this issue in the browser.",https://wso2.com/choreo/docs/observe-and-analyze/analyze/choreo-insights-api/,116,D39
Policies,Policies,"
Policies are units of business logic that a user can apply to slightly change the  Request, Response, or Error flow of an API invocation before reaching the backend or the client. For example, you can modify the response of an API invocation by adding a policy to the Response flow to transform the payload from JSON to  XML and to add a header in the response.Choreo includes a default set of policies covering most of the common use cases. You can attach one or more policies to the component implementation easily through the Choreo Console. Furthermore, you can attach multiple policies, swap, and rearrange them conveniently.In Choreo, once you attach a mediation policy to a proxy, the deployment, internally, is a two-step process.Deployment initiation
If the component to which you attached the mediation policy is new, the system creates and commits a new repository with the mediation service code based on the attached policies. This new service is referred to as the interceptor application.
Deploying the API
Once the deployment initiation is complete, you can provide any configurations required and proceed to deploy. In this step, Choreo builds the generated interceptor application and pushes the Docker image to the Docker registry. Finally, Choreo deploys the interceptor application with the mediation service and the API Proxy.Depending on the flow to which the mediation policy is attached, the API invocation will undergo the respective behavioral modification as follows:In the request path, the requests that pass through the gateway reach the relevant component, and Choreo executes any attached policies to the resource's request path before sending it to the backend.
In the response path, the response messages from the backend are first received by the interceptor component, and Choreo executes any mediation policies attached to the Response flow or the Error flow. Then the response is forwarded to the client.
In the event an error occurrs during the execution of policies or due to an internal error, the Error flow is executed and an error response is sent to the client.
h2 -> Monitoring and troubleshooting the deployment
You can check logs at each stage of the deployment in the console that opens on the right of the page. To open this console, click on a build from the Build and Deployment History in the Build Area.
h4 -> Code Generation
This is the stage where the interceptor application is generated based on the mediation policies. In this stage, if there are any errors, the user can view them in the console. If the error is due to a user error, for example, an error related to the API definition, etc., based on the logs the user can fix the issue and retrigger a build.
h4 -> Build
The build stage builds the interceptor application as a Docker image and deploys it in the respective environment. For logs related to the build, you can refer build logs of both Ballerina and Docker.Any errors that occur in this stage are not due to user error. If an error occurs, you need to retry the deployment.",https://wso2.com/choreo/docs/develop/api-policies/policies/,626,D40
Test an API,Test an API,"
Before using your API in production, you can test it using the integrated console in Choreo. Once you deploy your API in the required environment, an API consumer can use the application credentials, generate an OAuth 2.0 token, and invoke the API to test its functionality by providing values for the required parameters.This guide will take you through the steps to test an API in Choreo.Sign in to Choreo Developer Portal at https://devportal.choreo.dev. Alternatively, click Developer Portal  on the Choreo Console header.
{.cInlineImage-half}
Click APIs.
Select an API you want to test and click Try Out on the card. In this case, skip step 4. Alternatively, you can click on the API and follow step 4.
In the left pane, click Try Out.
Select the required environment from the Environment list.
{.cInlineImage-half}
From the Subscribed Application list, select the application you used to subscribe the API to. To learn how to subscribe to an application, see Manage Subscriptions.
Click Get Test Key on the Access Token field to generate a test access token. To learn more about access tokens and generating tokens for production usage, see Manage Applications.
Next, expand a resource you want to test by clicking on it.
{.cInlineImage-half}
Click Try it Out to enable the resource to be tested.
Fill in values for the required parameters and click Execute.
{.cInlineImage-half}
Once Choreo executes the request, you can view the response in the Choreo Console.",https://wso2.com/choreo/docs/consume/test-api/,350,D41
Generate Custom Reports,Generate Custom Reports,"
Choreo insights allow you to generate custom reports to view the information that is important to you to make timely decisions for the betterment of your business. With custom reports, you can generate reports for a set of metrics of your choice and aggregate results by specific fields. Once generated, the metrics can be filtered out using any selected group-by filters. Custom reports support three visualizations: overtime charts, pie charts, and tables.
h2 -> Metrics
Choreo Insights allow you to retrieve data for the following metrics:Successful Hit Count
Response Cache Hits
Request Mediation Latency
Response Mediation Latency
Backend Latency
Total Latency
API Errors
Target Errors
h2 -> Group-by
Group-by fields specify how to group the metric data. e.g., You can select Successful Hit Count in the Metrics field and API Name under Group-by to retrieve the successful hit count grouped by the API name.Choreo Insights allow you to group metric data by the following fields:API Name
API Version
API Resource Template
API Method
API Creator
Application
Application Owner
Destination
User Agent
PlatformTo generate a custom report, follow the steps below:In the left navigation menu, click Custom Reports.
{.cInlineImage-full}
Select metric(s) from the Metrics drop-down selector.
{.cInlineImage-full}
Select a minimum of 1 and a maximum of 3 group-by field(s) from the Group By drop down selector.
Set the order of the group-by filters by drag and drop to determine the grouping order of the selected metric(s).
Once you determine the order of the group-by fields, you can set values for each group-by field from the respective dropdown.
{.cInlineImage-full}
Click Generate.
{.cInlineImage-full}
h2 -> Download Reports
Choreo Insights allow you to download report data related to each chart as a PDF or a CSV file.To do this, click the Download icon on the top right of the relevant chart and select the required file format.
{.cInlineImage-full}",https://wso2.com/choreo/docs/observe-and-analyze/analyze/generate-custom-reports/,469,D42
Forecast Performance Metrics,Forecast Performance Metrics,"The Performance Analyzer tool is an AI-based tool that generates intelligent estimations of the performance of integration-based services and APIs based on historical data. The Performance Analyzer tool allows developers to obtain forecasts at development time using advanced machine learning techniques and mathematical performance models.Traditionally, performance analysis includes performance debugging which involves measuring the performance of services by load testing them. The Performance Analyzer allows you to measure performance at the application development stage, significantly reducing the time and cost spent on performance debugging.A component may have more than one execution path serving requests. The Performance Analyzer tool can analyze all the execution paths and determine the performance-critical path: the path that is estimated to take the longest time to process a single request.",https://wso2.com/choreo/docs/develop/run-and-test/forecast-performance-metrics/,148,D43
Create Your First Event-triggered Integration,Create Your First Event-triggered Integration,"Choreo allows you to deploy, test, manage, and observe integration components that integrate APIs, microservices, applications, and data in different languages and formats.To explore this capability, let's consider a scenario where a team of software engineers in an organization wants to be notified via email whenever someone creates a GitHub issue with the bug label in a specific GitHub repository.In this tutorial, you will address this requirement by doing the following:Create an Event-triggered Integration component by connecting to your GitHub repository where the webhook implementation that addresses the described requirement resides.
Deploy the event-triggered integration you created to the development environment.
Update the implementation of the event-triggered integration, enabling it to listen to selected GitHub events and act in response.
Test the event-triggered integration.
Promote the event-triggered Integration to the production environment.",https://wso2.com/choreo/docs/ipaas/ballerina/create-your-first-event-triggered-integration/,182,D44
Scheduled Tasks,Scheduled Tasks,Learn how to use scheduled tasks to execute routine tasks at specified time intervals.,https://wso2.com/choreo/docs/develop/components/scheduled-tasks/,15,D45
Customize the Developer Portal,Customize the Developer Portal,"
The Developer Portal allows API consumers to find and consume APIs with ease. You can change the look and feel of your Developer Portal by changing the theme to match your brand. Doing so will help you give a better developer experience to your users.To customize the Developer Portal theme, follow the steps given below:!!! Note
- To customize the Developer Portal theme for an organization, you need to be an admin user of that organization.
- You cannot undo a change and restore or revert to a previous version of the theme. However, you can reset it to the default theme.Sign in to the Choreo Console at https://console.choreo.dev/ using a Google, GitHub, or Microsoft account.
In the left pane, click Settings.
In the API Management tab, click Devportal Theme.
{.cInlineImage-threeQuarters}
Once you access the theme, you can customize the Home page, color theme, font, header and footer, logos, etc., by expanding the relevant sections.
Make a change to the theme. For example, let's change the title on the Home page and the color theme.
To update the title on the Home page, expand the Home Page section, and in the Title field, change the default text (for example, to Try our APIs!).
To update the color theme, expand the Color Palette section, and change the colors as required (for example, change the background color to #C3C5CD and the primary color of the buttons to #086634).
Click Preview to view a preview of the Developer Portal with the changes you made. Based on the changes given in the examples, the preview appears as follows.
{.cInlineImage-threeQuarters}
Click Save to save your changes as a draft theme.
To apply the changes to the Developer Portal, toggle the Go Live switch. To confirm that you want to go live with the changes, click Enable in the message that appears.
If you want to make further changes to the Developer Portal theme after going live with the previous changes, follow the steps given below:
Make the required changes and click Save.
If you want to apply the latest changes to the Developer Portal, click Confirm in the Proceed to Go Live message. If not, click Cancel.
!!! info
 If you did not apply the latest changes to the Developer Portal, you can publish them later or discard them.<br/>![Publish or discard Developer Portal changes](../assets/img/administration/devportal-theme/publish-or-discard-developer-portal-changes.png){.cInlineImage-threeQuarters}
Sign in to the Choreo Developer Portal at https://devportal.choreo.dev.The Home page will appear as it did in the preview.
h2 -> Reset the Developer Portal theme
To reset the Developer Portal theme to the default theme, follow the steps given below:Sign in to the Choreo Console at https://console.choreo.dev/ using a Google, GitHub, or Microsoft account.
In the left pane, click Settings.
In the Organization tab, click Devportal Theme, and then click Reset to Default.",https://wso2.com/choreo/docs/administer/customize-the-developer-portal/,680,D46
REST API Proxy,REST API Proxy,Learn how you can expose an existing API through a REST API Proxy in Choreo and go on to manage it leveraging the full API Management capabilities of Choreo.,https://wso2.com/choreo/docs/develop/components/api-proxy/,34,D47
Handle Non-Ballerina Files in Choreo,Handle Non-Ballerina Files in Choreo,"
You can add and use non-Ballerina files such as .pem, .txt, etc. in the integration solution you are developing in Choreo. You can add these files to the web editor (Choreo low-code editor) or keep them in your GitHub repository.If you run and test this solution with non-Ballerina files in the web editor, you get the expected outcome as the files are available in the environment. However, at build time, Choreo only copies the Cloud.toml and the Ballerina target/jar files to the Docker container. The target/jar does not by default include the non-Ballerina files you add into Choreo. Therefore, Choreo does not copy the non-Ballerina files to the Docker container unless explicitly mentioned in the Cloud.toml file. This may lead to a no such file or directory error at runtime.To avoid the error no such file or directory and to copy the non-Ballerina files to the Docker container, follow the guidelines below:
h2 -> Troubleshoot the no such file or directory error
If you are using the Web Editor, commit and push the non-Ballerina files from the web editor to the GitHub repository.
Add the file reference to the Cloud.toml.For example, if you added a file data.txt at /config/workspace/data/data.txt add the following entry to the Cloud.toml file.[[container.copy.files]]
sourceFile=""./data/data.txt""
target=""/home/ballerina/data/data.txt""!!! note
- sourceFile: the file's relative path to the repository root. (For example, dir1/file1.json and not /config/workspace/dir1/file1.json)
- target: the target is where Choreo copies the artifacts in the Docker container. The target must always have the path prefix /home/ballerina/.",https://wso2.com/choreo/docs/develop/explore-code-editor/handle-non-ballerina-files-in-choreo/,422,D48
Test your REST API,Test your REST API,"
!!! note
If you are on the Deployment tab, click Test in the Development card and continue from step 4 onward.Sign in to the Choreo Console at https://console.choreo.dev/.
In the component list, find the API component that you want to test and click it.
To open the test view, click the Test on the left navigation menu.
Click Try it out.
Enter any parameter values if necessary.
Click Execute.
You can view the response body under Responses.
{.cInlineImage-full}Congratulations! You have now successfully created and tested a REST API in Choreo!",https://wso2.com/choreo/docs/test/open-api-console/,137,D49
Customize the Developer Portal Domain,Customize the Developer Portal Domain,"
A custom domain for your site is essential for effective branding, discoverability, and credibility. Choreo allows you to configure a custom domain for your organization's developer portal.Follow the steps below to configure the custom domain for the Developer Portal:
h2 -> Prerequisites
Sign in to the Choreo Console at https://console.choreo.dev/ using a Google/ GitHub/ Microsoft account.
If you are a new user, create an organization. Enter a unique organization name. For example, ""Stark Industries"".
{.cInlineImage-small}
Obtain a custom domain through a domain registrar.
Through your DNS administrator, create a CNAME type DNS record and associate it with the Choreo Developer Portal custom access domain: customdns.devportal.choreo.dev.
Optionally, create TLS certificates and keys to enable TLS for the custom domain. For testing purposes, you can also opt to use the let's encrypt option. This option allows Choreo to create and manage the certificates on your behalf.
h2 -> Configure a custom domain for your Choreo Developer Portal
Click Settings on the left navigation menu.
Click the Domains tab and then click on the Developer Portal tab.
Click Add Custom Domain.
Enter your domain name and click Verify. Once Choreo verifies the custom domain successfully, click Next.
Add the TLS certificates you created for the custom domain and click Add. Alternatively, you can click the Let's Encrypt option to let Choreo generate and manage the certificates for you. However, we recommend you use Let's Encrypt for testing only.That's it! You have successfully configured a custom domain for your organization's Choreo Developer Portal.",https://wso2.com/choreo/docs/administer/customize-developer-portal-domain/,366,D50
Permissions,Permissions,"
Permissions allow you to attach scopes that enable fine-grained access control to your API resources. You can create a scope entry by giving a scope name. You can then select and apply these scopes to the individual resources in your API. On the identity provider, a scope will have a role mapped to it. A role specifies the permissions associated with it. When you invoke the API resource with a specific scope, the access to your API resource is controlled based on the permissions associated with the role.
",https://wso2.com/choreo/docs/manage/api-management/,104,D51
Settings,Settings,"
The Choreo Console allows you to define security, rate-limiting, and visibility settings for an API. You can configure the following settings:Access mode - Configure API access as internal or external.
API Visibility - Configure API visibility as private or public.
CORS configuration - Enables CORS configurations and provides necessary CORS headers.
Application level security - This determines the type of security used to safeguard this API.  You can secure your APIs with OAuth 2.0, any other available security scheme, or both. If the OAuth 2.0 option is selected, that API will need a valid OAuth 2.0 token for successful invocation.
Operations Configuration - Configure rate limiting to your API in Choreo per API operation.
",https://wso2.com/choreo/docs/manage/api-management/,161,D52
Properties,Properties,"
You can view and edit the API properties (i.e., the business owner's name and email and the technical owner's name and email) from the Choreo Console.""",https://wso2.com/choreo/docs/manage/api-management/,37,D53
Consumers,Consumers,"
The Consumers pane shows us the applications that have subscribed to your API. You can manage access to your API by blocking or unblocking these applications through the Choreo Console. The Consumers pane lists the applications, and for each application, it shows the usage tier, owner, and status: blocked or unblocked.
",https://wso2.com/choreo/docs/manage/api-management/,66,D54
REST APIs,REST APIs,"Explore how you can easily design, develop, and manage REST APIs in Choreo to implement your business API strategy.",https://wso2.com/choreo/docs/develop/components/rest-api/,24,D55
Lifecycle,Lifecycle,"
Choreo allows you to manage the lifecycle of the API through the Choreo Console. A state represents the stage of an API in the process from creation to retirement. You can apply any of the six API lifecycle states (i.e.,Created, Pre-released, Published, Blocked, Deprecated, and Retired) while adhering to their respective lifecycle flows.When you publish an API, you can also publish a connector for that API to make it available on the Choreo Marketplace.
",https://wso2.com/choreo/docs/manage/api-management/,109,D56
Create Your First Event-Triggered Integration,Create Your First Event-Triggered Integration,"Event-triggered integrations can help automate business processes and reduce manual work. Choreo allows you to create and manage event-triggered integrations without a complex infrastructure setup.Consider a scenario where a developer has already created an integration using WSO2 Integration Studio and wants to deploy it on Choreo to create an event-triggered integration. This tutorial walks you through the steps to accomplish this requirement.In this tutorial, you will do the following:Create an event-triggered integration component in Choreo by connecting a GitHub repository with a sample application developed using WSO2 Integration Studio.
!!! info
The sample application listens to a RabbitMQ topic and logs incoming messages.
Deploy the integration component to the development environment in Choreo.
Test the integration component.!!! tip ""Before you begin""
- Fork the sample application GitHub repository. For this tutorial, you need the simple-rabbitmq-listener in the choreo-sample repository.- Use an existing RabbitMQ instance or start a new [RabbitMQ](https://www.rabbitmq.com/download.html) instance on a server that can be accessed via the internet. Obtain the `username`, `hostname`, `password`, and `vhost` from the RabbitMQ instance to use later as environment variables.",https://wso2.com/choreo/docs/get-started/tutorials/create-your-first-event-triggered-integration/,277,D57
Manage Applications,Manage Applications,"An application in Choreo is a logical representation of a physical application such as a mobile app, web app, device, etc. To consume an API in Choreo, you need to create an application that maps to your physical application and then subscribes to the required API over a usage policy plan that gives you a usage quota. A single application can have multiple subscriptions to APIs. Using the consumer key and consumer secret, you can generate an access token that you can use to invoke all the APIs subscribed to the same application.This section will walk you through the steps to create an application in Choreo.Let's get started!",https://wso2.com/choreo/docs/consume/manage-application/,129,D58
Overview,Overview,"
The overview of the Manage page gives you a bird's eye view of how you currently manage your API component. You can view the lifecycle status of your component, the number of consumers, the security scheme configured, and the usage plan applied to the API. The Overview pane also lists the environment(s) of the API.
",https://wso2.com/choreo/docs/manage/api-management/,69,D59
Documents,Documents,"
API documentation is vital in helping API consumers understand the functionality of your API and is beneficial to marketing the API. The Choreo Console allows you to add a document on the fly by entering a name and the API contents. You can also preview the document and verify if it is suitable for publishing.
",https://wso2.com/choreo/docs/manage/api-management/,62,D60
Create Your First Integration,Create Your First Integration,"An integration component integrates APIs, microservices, applications, and data in different languages and formats.Consider a scenario where a developer has created an integration in WSO2 Integration Studio and wants to use it for API-led integration by exposing it in Choreo. In this tutorial, you will learn how to do the following actions to address this requirement:Expose an integration created in WSO2 Integration Studio as an API in Choreo by connecting the GitHub repository in which it resides to Choreo.
Deploy the Integration component to the development environment.
Test the Integration component.
Observe statistics for the Integration component.
Publish the Integration component and try it out in the production environment.For this tutorial, let's use a basic sample application to expose a proxy service developed in the WSO2 Integration Studio.!!! tip ""Before you begin!""
To try this tutorial, you can use a sample integration designed via WSO2 Integration Studio.To do this, fork the choreo-examples GitHub repository.",https://wso2.com/choreo/docs/ipaas/micro-integrator/create-your-first-integration/,209,D61
Manage,Manage,"
Choreo's API Management capabilities allow you to manage your APIs through the Choreo Console. You can manage the lifecycle, consumers, and documents, secure your backends by applying rate-limiting policies through usage plans, define permissions using scopes, configure security, rate-limiting, and visibility settings, and define any properties.
",https://wso2.com/choreo/docs/manage/api-management/,72,D62
GraphQL APIs,GraphQL APIs,"Explore how you can easily design, develop, and manage GraphQL APIs in Choreo to implement your business API strategy.",https://wso2.com/choreo/docs/develop/components/graphql-api/,25,D63
Open API Console,Open API Console,"
Choreo allows you to test your APIs using the integrated OpenAPI Console, the generated cURL command, or by integrating Postman to Choreo. Once you have created an API and deployed it, it is ready to be tested.You can follow the steps below to test your REST API using the integrated OpenAPI Console:
",https://wso2.com/choreo/docs/test/open-api-console/,69,D64
cURL,cURL,"
Choreo allows you to test your APIs using the integrated OpenAPI Console, the generated cURL command, or by integrating Postman to Choreo. Once you have created an API and deployed it, it is ready to be tested.You can follow the steps below to test your REST API using the Choreo-generated cURL command :
",https://wso2.com/choreo/docs/test/curl/,73,D65
Create Your First REST API,Create Your First REST API,"A RESTful API (Application Program Interface) uses HTTP requests to access and use data. The operations you can perform on data are GET (reading), PUT (updating), POST (creating), and DELETE (deleting).Choreo’s low-code editor allows developers to easily design (and then implement) high-quality REST APIs. To explore this capability, let's consider a scenario where an Analyst needs to retrieve the daily count of COVID-19 patients per one million population by country. In this tutorial, you will address this requirement by doing the following:Design a REST API that addresses the described requirement, test it in the Web Editor, and then commit it so that it is available in the Choreo Console.
Deploy the REST API you created to make it available for use.
Test the REST API after deploying it to check whether it works as expected.",https://wso2.com/choreo/docs/get-started/tutorials/create-your-first-rest-api/,185,D66
Test your REST API,Test your REST API,"
!!! note
If you are on the Deployment tab, click Test in the Development card and continue from step 4 onward.Sign in to the Choreo Console at https://console.choreo.dev/.
From the components list, find the API component you want to test and click it.
To open the test view, click the Test on the left navigation menu and then click cURL.
Select the method, and configure the parameters, headers, and body required to invoke the API method selected.
Copy the cURL command generated under Command.You can use this copied cURL command and test the API method on a cURL client.Congratulations! You have now successfully created and tested a REST API in Choreo!",https://wso2.com/choreo/docs/test/curl/,152,D67
Alerts,Alerts,"Alerts are notifications sent by the Choreo Alert Manager when the components that run in the production environment are not functioning as expected. Whenever a critical error (e.g., out-of-memory error) occurs, the component logs an error, and the Alert Manager notifies the members of your organization with admin rights via an email. This email contains a link to the Observability tab of the component where the metrics and logs applicable to the time interval in which the error occurred are highlighted. The Alert Publisher collects and sends alerts to Alert Manager every five minutes, which then decides when to send these alerts to the users.",https://wso2.com/choreo/docs/alerts/,126,D68
Attach a Policy,Attach a Policy,"
You can attach a policy to the Request, Response, or Error flow of the  REST API Proxy as follows:Sign in to the Choreo Console at https://console.choreo.dev.
From the component list, select and click on the REST API Proxy component to which you want to attach the policy(s).
In the left navigation menu, click Develop  and then click Policies.
From the list of resources, expand the resource to which you want to attach the policy(s).
Click Attach Policy for the relevant flow (i.e., Request, Response, or Error) to which you want to attach the policy.
{.cInlineImage-threeQuarter}
From the Policy List panel on the right-hand side, select the policy you want to apply and click Add.
{.cInlineImage-small}
Click Save.
h2 -> Configuring the policy to accept environment-specific parameters
You can use policies that enable users to enter custom parameters and values. For example, Add Header policy requires the user to enter a header name and value when deploying the REST API Proxy. These parameters can be static values or environment-specific values.To add environment-specific values and policy parameters, follow the steps given below::Sign in to the Choreo Console at https://console.choreo.dev.
From the component list, select and click on the REST API Proxy component to which you want to attach policies.
In the left navigation menu, click Develop  and then click Policies.
From the list of resources, expand the resource to which you want to attach the policy(s).
Click Attach Policy for the relevant flow (i.e., Request, Response, or Error) to which you want to attach the policy.
Add a policy that enables you to accept custom parameters and values from users. For example, the Add Header policy.
![Add header](../../assets/img/api-proxies/policies/add-header.png){.cInlineImage-full}
Enter values for the required policy parameters when prompted. If you want to make a parameter a configurable variable, enter the value in ${<variableName>} format. For example, ${name}.
![Configurable values](../../assets/img/api-proxies/policies/configurable-values.png)
Click Add and then click Save.
To deploy the component, from the left navigation menu, click Deploy and then click Config & Deploy. When the interceptor application generation step is complete, you can provide the configurations.
When prompted, provide the value and click Save & Deploy.
{.cInlineImage-full}",https://wso2.com/choreo/docs/develop/api-policies/attach-policies/,572,D69
Usage Plans,Usage Plans,"
You can secure your API backends by applying rate-limiting policies through the Usage Plans pane, typically in cases such as the following:To protect your APIs from common types of security attacks, such as certain types of denial of service (DOS) attacks
To regulate traffic according to infrastructure availability
To make an API, application, or resource available to a consumer at different levels of service, usually for monetization purposeChoreo allows you to apply a usage plan on the API that is not bound to an environment or build. Choreo supports the following usage plans by default:Bronze - 1000 requests per minute.
Silver - 2000 requests per minute.
Gold - 5000 requests per minute.
Unlimited - unlimited requests per minute.
",https://wso2.com/choreo/docs/manage/api-management/,153,D70
Create Your First Event-triggered Integration,Prerequisites,"For this tutorial, let's create the event-triggered integration from a Ballerina project. To create a Ballerina project and add it to a private GitHub repository, follow the steps given below:Create a Ballerina project by following the instructions on Ballerina Site - Get Started with Ballerina.
Create a new repository in your GitHub account and commit the Ballerina.toml file and the Main.bal from your Ballerina project to its root directory or sub-directory as you prefer.",https://wso2.com/choreo/docs/ipaas/ballerina/create-your-first-event-triggered-integration/,108,D71
Alerts,Types of alert email notifications,"When an alert occurs for the first time during the alerting interval, the Choreo Alert Manager sends an alert email immediately. When there are multiple occurrences of the same type of alert for a particular component, the Choreo Alert Manager suppresses the alerts for 15 minutes and generates a single email that specifies the event count to denote how many such errors occurred during an alerting interval.",https://wso2.com/choreo/docs/alerts/,78,D72
